initial,0,NIC,queueManager,hour
apReport,4,AP,,
apJobcardProcess,3,AP,,
apJobcardDownload,2,AP,1,
apJobcardRegister,1,AP,1,
complete,16,NIC,,
detailPanchayatReport,15,NIC,,
computeJobcardStat,14,NIC,1,
computePaymentStatus,13,NIC,1,
ftoProcess,12,NIC,1,1
ftoDownload,11,NIC,1,1
wagelistProcess,10,NIC,1,
wagelistDownload,9,NIC,1,1
wagelistCrawl,8,NIC,,1
panchayatReport,7,NIC,,
computeStats,6,NIC,,
musterProcess,5,NIC,1,
musterDownload,4,NIC,1,1
musterCrawl,3,NIC,,1
jobcardRegister,2,NIC,,1
NICStats,1,NIC,,1
